run_id,timestamp,scenario,parameter_name,value,unit,description,source,details_json
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,asd.rho_blood,1060,not specified by caller,"Exported field ""asd.rho_blood""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,asd.is_closed,1,not specified by caller,"Exported field ""asd.is_closed""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,R.asd,Inf,not specified by caller,"Exported field ""R.asd""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,t_on_lv,0,s,"Exported field ""t_on_lv""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,T_sys_lv,0.191566265060241,s,"Exported field ""T_sys_lv""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,T_rel_lv,0.289156626506024,s,"Exported field ""T_rel_lv""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,t_on_rv,0,s,"Exported field ""t_on_rv""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,T_sys_rv,0.216867469879518,s,"Exported field ""T_sys_rv""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,T_rel_rv,0.289156626506024,s,"Exported field ""T_rel_rv""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,t_on_la,0.542168674698795,s,"Exported field ""t_on_la""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,T_sys_la,0.072289156626506,s,"Exported field ""T_sys_la""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,T_rel_la,0.108433734939759,s,"Exported field ""T_rel_la""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,t_on_ra,0.578313253012048,s,"Exported field ""t_on_ra""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,T_sys_ra,0.072289156626506,s,"Exported field ""T_sys_ra""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,T_rel_ra,0.072289156626506,s,"Exported field ""T_rel_ra""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,scaling.reference_weight_kg,70,not specified by caller,"Exported field ""scaling.reference_weight_kg""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,scaling.weight_ratio,0.457142857142857,not specified by caller,"Exported field ""scaling.weight_ratio""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,scaling.BSA_ref,1.73,not specified by caller,"Exported field ""scaling.BSA_ref""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,scaling.BSA_patient,1.10352969048312,not specified by caller,"Exported field ""scaling.BSA_patient""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,scaling.patient.age_years,8,years,"Exported field ""scaling.patient.age_years""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,scaling.patient.age_days,2922,not specified by caller,"Exported field ""scaling.patient.age_days""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,scaling.patient.weight_kg,32,kg,"Exported field ""scaling.patient.weight_kg""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,scaling.patient.height_cm,137,cm,"Exported field ""scaling.patient.height_cm""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,scaling.patient.sex,U,not specified by caller,"Exported field ""scaling.patient.sex""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,scaling.patient.BSA,1.10352969048312,m^2,"Exported field ""scaling.patient.BSA""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,scaling.patient.HR,83,bpm,"Exported field ""scaling.patient.HR""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,scaling.patient.patient_id,healthy_pediatric_8yo,not specified by caller,"Exported field ""scaling.patient.patient_id""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,scaling.patient.patient_name,Healthy pediatric 8yo scaling validation,not specified by caller,"Exported field ""scaling.patient.patient_name""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,scaling.patient.maturation_mode,normal,not specified by caller,"Exported field ""scaling.patient.maturation_mode""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,scaling.zhang_exponents.HR,-0.3,bpm,"Exported field ""scaling.zhang_exponents.HR""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,scaling.zhang_exponents.E_left,-0.5,not specified by caller,"Exported field ""scaling.zhang_exponents.E_left""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,scaling.zhang_exponents.E_right,-0.75,not specified by caller,"Exported field ""scaling.zhang_exponents.E_right""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,scaling.zhang_exponents.V0,0.8,not specified by caller,"Exported field ""scaling.zhang_exponents.V0""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,scaling.zhang_exponents.R_systemic,-0.475,mmHg*s/mL,"Exported field ""scaling.zhang_exponents.R_systemic""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,scaling.zhang_exponents.R_pulmonary,-0.7,mmHg*s/mL,"Exported field ""scaling.zhang_exponents.R_pulmonary""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,scaling.zhang_exponents.C,1,not specified by caller,"Exported field ""scaling.zhang_exponents.C""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,scaling.zhang_exponents.R_valve_open,-0.9,mmHg*s/mL,"Exported field ""scaling.zhang_exponents.R_valve_open""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,scaling.mode,zhang,not specified by caller,"Exported field ""scaling.mode""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,scaling.age_days,2922,not specified by caller,"Exported field ""scaling.age_days""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,scaling.maturation_mode,normal,not specified by caller,"Exported field ""scaling.maturation_mode""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,maturation.mode,normal,not specified by caller,"Exported field ""maturation.mode""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,maturation.age_days,2922,not specified by caller,"Exported field ""maturation.age_days""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,maturation.pvr_factor,1,not specified by caller,"Exported field ""maturation.pvr_factor""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,maturation.svr_factor,0.999999999999998,not specified by caller,"Exported field ""maturation.svr_factor""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,maturation.pvr_reference_age_days,2922,not specified by caller,"Exported field ""maturation.pvr_reference_age_days""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,forward_seed.pulmonary_resistance_scale,0.5,not specified by caller,"Exported field ""forward_seed.pulmonary_resistance_scale""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,forward_seed.systemic_arterial_compliance_scale,1.5,not specified by caller,"Exported field ""forward_seed.systemic_arterial_compliance_scale""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,forward_seed.P_SVEN_seed_mmHg,38,mmHg,"Exported field ""forward_seed.P_SVEN_seed_mmHg""; verify definition in source function.",payload struct,
